t,chi0,chi1,chi2,w0_chi0,w1_chi1,w2_chi2,total_feedback
162.89999999999682,13.340990733521352,38.14387681372244,90.27101842048882,6.670495366760676,7.628775362744489,9.027101842048882,23.326372571554046
162.99999999999673,13.166933342398083,38.045572104065066,90.2732070311326,6.583466671199042,7.609114420813014,9.02732070311326,23.219901795125317
163.09999999999664,12.497255197275727,37.44465044291094,89.77120368159746,6.248627598637864,7.488930088582189,8.977120368159746,22.7146780553798
163.19999999999655,11.612923961891386,36.61719833644827,89.03974448570081,5.806461980945693,7.323439667289654,8.90397444857008,22.03387609680543
163.29999999999646,10.4648012134391,35.51078989748299,88.02545929701344,5.23240060671955,7.102157979496598,8.802545929701344,21.137104515917493
163.39999999999637,9.026988506808431,34.09520197006333,86.69688514070498,4.5134942534042155,6.819040394012666,8.669688514070499,20.00222316148738
163.49999999999628,7.6531244621298296,32.721692391452095,85.40453863750648,3.8265622310649148,6.5443384782904195,8.540453863750647,18.91135457310598
163.5999999999962,6.727358405080978,31.778608922326967,84.53778333721444,3.363679202540489,6.355721784465394,8.453778333721443,18.173179320727325
163.6999999999961,6.093981996442797,31.116513369177557,83.94877892592893,3.0469909982213985,6.223302673835512,8.394877892592893,17.665171564649803
163.799999999996,5.450337660274906,30.435073419071514,83.3377628490234,2.725168830137453,6.087014683814303,8.33377628490234,17.145959798854097
163.8999999999959,4.553288802755761,29.489358859811386,82.45927831411515,2.2766444013778804,5.8978717719622775,8.245927831411516,16.420444004751673
163.99999999999582,3.23865977893831,28.110113823423085,81.14264951662311,1.619329889469155,5.622022764684617,8.114264951662312,15.355617605816084
164.09999999999573,1.8291836106841406,26.615142363866294,79.70427268755267,0.9145918053420703,5.3230284727732595,7.970427268755268,14.208047546870597
164.19999999999564,1.0068801296472327,25.690167112683973,78.8307564626821,0.5034400648236164,5.138033422536795,7.88307564626821,13.524549133628621
164.29999999999555,0.6752778988836093,25.24792002823592,78.43722206550454,0.33763894944180467,5.049584005647184,7.843722206550455,13.230945161639443
164.39999999999546,0.4676881543503654,24.92644661533013,78.16295089510363,0.2338440771751827,4.985289323066026,7.816295089510364,13.035428489751572
164.49999999999537,0.18516257095694016,24.52718388085927,77.8094690997484,0.09258128547847008,4.905436776171854,7.7809469099748405,12.778964971625165
164.59999999999528,-0.3507940096059516,23.86941081955338,77.19544432838015,-0.1753970048029758,4.7738821639106765,7.719544432838015,12.318029591945717
164.69999999999519,-1.4204495956364465,22.667309199772106,76.03354233535018,-0.7102247978182232,4.5334618399544215,7.603354233535018,11.426591275671218
164.7999999999951,-3.0005098232131813,20.935277329378966,74.33571604083554,-1.5002549116065906,4.187055465875793,7.4335716040835536,10.120372158352756
164.899999999995,-3.9151179185924665,19.848713743214834,73.27713514522989,-1.9575589592962332,3.969742748642967,7.32771351452299,9.339897303869723
164.9999999999949,-3.885540623957264,19.700600656122525,73.15451152515027,-1.942770311978632,3.9401201312245053,7.315451152515028,9.3128009717609
165.09999999999482,-3.4831384158969128,19.929624005556327,73.40920878534241,-1.7415692079484564,3.9859248011112656,7.3409208785342415,9.58527647169705
